GPU 0: NVIDIA A100-SXM4-40GB (UUID: GPU-547e49e9-c77f-15a6-b5da-15b9eb0207d3)
         Link 0: Data Tx: 1040 KiB
         Link 0: Data Rx: 200.3 KiB
         Link 1: Data Tx: 1500 KiB
         Link 1: Data Rx: 1500 KiB
         Link 2: Data Tx: 1500 KiB
         Link 2: Data Rx: 1500 KiB
         Link 3: Data Tx: 1500 KiB
         Link 3: Data Rx: 1500 KiB
         Link 4: Data Tx: 1500 KiB
         Link 4: Data Rx: 1500 KiB
         Link 5: Data Tx: 1500 KiB
         Link 5: Data Rx: 1500 KiB
         Link 6: Data Tx: 1500 KiB
         Link 6: Data Rx: 1500 KiB
         Link 7: Data Tx: 1500 KiB
         Link 7: Data Rx: 1500 KiB
         Link 8: Data Tx: 1500 KiB
         Link 8: Data Rx: 1500 KiB
         Link 9: Data Tx: 1500 KiB
         Link 9: Data Rx: 1500 KiB
         Link 10: Data Tx: 1500 KiB
         Link 10: Data Rx: 1500 KiB
         Link 11: Data Tx: 1500 KiB
         Link 11: Data Rx: 1500 KiB
GPU 1: NVIDIA A100-SXM4-40GB (UUID: GPU-dc450a09-2c60-40a5-34fc-77ac7faf167e)
         Link 0: Data Tx: 800 KiB
         Link 0: Data Rx: 800 KiB
         Link 1: Data Tx: 800 KiB
         Link 1: Data Rx: 800 KiB
         Link 2: Data Tx: 800 KiB
         Link 2: Data Rx: 800 KiB
         Link 3: Data Tx: 800 KiB
         Link 3: Data Rx: 800 KiB
         Link 4: Data Tx: 800 KiB
         Link 4: Data Rx: 800 KiB
         Link 5: Data Tx: 800 KiB
         Link 5: Data Rx: 800 KiB
         Link 6: Data Tx: 800 KiB
         Link 6: Data Rx: 800 KiB
         Link 7: Data Tx: 800 KiB
         Link 7: Data Rx: 800 KiB
         Link 8: Data Tx: 800 KiB
         Link 8: Data Rx: 800 KiB
         Link 9: Data Tx: 800 KiB
         Link 9: Data Rx: 800 KiB
         Link 10: Data Tx: 800 KiB
         Link 10: Data Rx: 800 KiB
         Link 11: Data Tx: 800 KiB
         Link 11: Data Rx: 800 KiB
GPU 2: NVIDIA A100-SXM4-40GB (UUID: GPU-38eef22b-8b56-ae96-1f1f-25575b9fc7e7)
         Link 0: Data Tx: 500 KiB
         Link 0: Data Rx: 500 KiB
         Link 1: Data Tx: 500 KiB
         Link 1: Data Rx: 500 KiB
         Link 2: Data Tx: 500 KiB
         Link 2: Data Rx: 500 KiB
         Link 3: Data Tx: 500 KiB
         Link 3: Data Rx: 500 KiB
         Link 4: Data Tx: 500 KiB
         Link 4: Data Rx: 500 KiB
         Link 5: Data Tx: 500 KiB
         Link 5: Data Rx: 500 KiB
         Link 6: Data Tx: 500 KiB
         Link 6: Data Rx: 500 KiB
         Link 7: Data Tx: 500 KiB
         Link 7: Data Rx: 500 KiB
         Link 8: Data Tx: 500 KiB
         Link 8: Data Rx: 500 KiB
         Link 9: Data Tx: 500 KiB
         Link 9: Data Rx: 500 KiB
         Link 10: Data Tx: 500 KiB
         Link 10: Data Rx: 500 KiB
         Link 11: Data Tx: 500 KiB
         Link 11: Data Rx: 500 KiB
GPU 3: NVIDIA A100-SXM4-40GB (UUID: GPU-bb58bf68-496a-a909-f7a6-eb6e8bff5892)
         Link 0: Data Tx: 1200 KiB
         Link 0: Data Rx: 1200 KiB
         Link 1: Data Tx: 1200 KiB
         Link 1: Data Rx: 1200 KiB
         Link 2: Data Tx: 1200 KiB
         Link 2: Data Rx: 1200 KiB
         Link 3: Data Tx: 1200 KiB
         Link 3: Data Rx: 1200 KiB
         Link 4: Data Tx: 1200 KiB
         Link 4: Data Rx: 1200 KiB
         Link 5: Data Tx: 1200 KiB
         Link 5: Data Rx: 1200 KiB
         Link 6: Data Tx: 1200 KiB
         Link 6: Data Rx: 1200 KiB
         Link 7: Data Tx: 1200 KiB
         Link 7: Data Rx: 1200 KiB
         Link 8: Data Tx: 1200 KiB
         Link 8: Data Rx: 1200 KiB
         Link 9: Data Tx: 1200 KiB
         Link 9: Data Rx: 1200 KiB
         Link 10: Data Tx: 1200 KiB
         Link 10: Data Rx: 1200 KiB
         Link 11: Data Tx: 1200 KiB
         Link 11: Data Rx: 1200 KiB
GPU 4: NVIDIA A100-SXM4-40GB (UUID: GPU-e7900065-8d18-a01c-7d45-9ef032d7d1ed)
         Link 0: Data Tx: 2000 KiB
         Link 0: Data Rx: 2000 KiB
         Link 1: Data Tx: 2000 KiB
         Link 1: Data Rx: 2000 KiB
         Link 2: Data Tx: 2000 KiB
         Link 2: Data Rx: 2000 KiB
         Link 3: Data Tx: 2000 KiB
         Link 3: Data Rx: 2000 KiB
         Link 4: Data Tx: 2000 KiB
         Link 4: Data Rx: 2000 KiB
         Link 5: Data Tx: 2000 KiB
         Link 5: Data Rx: 2000 KiB
         Link 6: Data Tx: 2000 KiB
         Link 6: Data Rx: 2000 KiB
         Link 7: Data Tx: 2000 KiB
         Link 7: Data Rx: 2000 KiB
         Link 8: Data Tx: 2000 KiB
         Link 8: Data Rx: 2000 KiB
         Link 9: Data Tx: 2000 KiB
         Link 9: Data Rx: 2000 KiB
         Link 10: Data Tx: 2000 KiB
         Link 10: Data Rx: 2000 KiB
         Link 11: Data Tx: 2000 KiB
         Link 11: Data Rx: 2000 KiB
GPU 5: NVIDIA A100-SXM4-40GB (UUID: GPU-8e000139-4a61-ec47-798b-374ae1cbf96a)
         Link 0: Data Tx: 400 KiB
         Link 0: Data Rx: 400 KiB
         Link 1: Data Tx: 400 KiB
         Link 1: Data Rx: 400 KiB
         Link 2: Data Tx: 400 KiB
         Link 2: Data Rx: 400 KiB
         Link 3: Data Tx: 400 KiB
         Link 3: Data Rx: 400 KiB
         Link 4: Data Tx: 400 KiB
         Link 4: Data Rx: 400 KiB
         Link 5: Data Tx: 400 KiB
         Link 5: Data Rx: 400 KiB
         Link 6: Data Tx: 400 KiB
         Link 6: Data Rx: 400 KiB
         Link 7: Data Tx: 400 KiB
         Link 7: Data Rx: 400 KiB
         Link 8: Data Tx: 400 KiB
         Link 8: Data Rx: 400 KiB
         Link 9: Data Tx: 400 KiB
         Link 9: Data Rx: 400 KiB
         Link 10: Data Tx: 400 KiB
         Link 10: Data Rx: 400 KiB
         Link 11: Data Tx: 400 KiB
         Link 11: Data Rx: 400 KiB
GPU 6: NVIDIA A100-SXM4-40GB (UUID: GPU-53bbb70c-10a4-f0b3-9e6a-0bfc103ed298)
         Link 0: Data Tx: 750 KiB
         Link 0: Data Rx: 750 KiB
         Link 1: Data Tx: 750 KiB
         Link 1: Data Rx: 750 KiB
         Link 2: Data Tx: 750 KiB
         Link 2: Data Rx: 750 KiB
         Link 3: Data Tx: 750 KiB
         Link 3: Data Rx: 750 KiB
         Link 4: Data Tx: 750 KiB
         Link 4: Data Rx: 750 KiB
         Link 5: Data Tx: 750 KiB
         Link 5: Data Rx: 750 KiB
         Link 6: Data Tx: 750 KiB
         Link 6: Data Rx: 750 KiB
         Link 7: Data Tx: 750 KiB
         Link 7: Data Rx: 750 KiB
         Link 8: Data Tx: 750 KiB
         Link 8: Data Rx: 750 KiB
         Link 9: Data Tx: 750 KiB
         Link 9: Data Rx: 750 KiB
         Link 10: Data Tx: 750 KiB
         Link 10: Data Rx: 750 KiB
         Link 11: Data Tx: 750 KiB
         Link 11: Data Rx: 750 KiB
GPU 7: NVIDIA A100-SXM4-40GB (UUID: GPU-f6babbbb-c44f-416a-79ec-8d28350c2ad2)
         Link 0: Data Tx: 600 KiB
         Link 0: Data Rx: 600 KiB
         Link 1: Data Tx: 600 KiB
         Link 1: Data Rx: 600 KiB
         Link 2: Data Tx: 600 KiB
         Link 2: Data Rx: 600 KiB
         Link 3: Data Tx: 600 KiB
         Link 3: Data Rx: 600 KiB
         Link 4: Data Tx: 600 KiB
         Link 4: Data Rx: 600 KiB
         Link 5: Data Tx: 600 KiB
         Link 5: Data Rx: 600 KiB
         Link 6: Data Tx: 600 KiB
         Link 6: Data Rx: 600 KiB
         Link 7: Data Tx: 600 KiB
         Link 7: Data Rx: 600 KiB
         Link 8: Data Tx: 600 KiB
         Link 8: Data Rx: 600 KiB
         Link 9: Data Tx: 600 KiB
         Link 9: Data Rx: 600 KiB
         Link 10: Data Tx: 600 KiB
         Link 10: Data Rx: 600 KiB
         Link 11: Data Tx: 600 KiB
         Link 11: Data Rx: 600 KiB
